codigo,nombre,categoria,descripcion,medidas_disponibles,precio_base,imagen,especificaciones
B1,Racor Macho Recto BSP,racores_bronce,"Racor macho de bronce con rosca BSP para conexiones hidráulicas","1/8"";1/4"";3/8"";1/2"";3/4"";1""",15000,B1.JPG,"Material: Bronce | Norma: BSP | Presión: 150 PSI | Temperatura: -20°C a 120°C"
B100,Válvula Check Industrial,valvulas,"Válvula de retención tipo check para sistemas hidráulicos","1/4"";3/8"";1/2"";3/4"";1""",25000,B100.JPG,"Material: Bronce | Presión: 200 PSI | Temperatura: -20°C a 150°C | Cuerpo: Forjado"
B101,Racor Codo 90° BSP,racores_bronce,"Racor codo de 90 grados con rosca BSP para cambios de dirección","1/8"";1/4"";3/8"";1/2"";3/4"";1"";1-1/4""",18000,B101.JPG,"Material: Bronce | Norma: BSP | Ángulo: 90° | Presión: 150 PSI"
B102A,Terminal Hembra BSP,racores_bronce,"Terminal hembra con rosca BSP para conexiones finales","1/4"";3/8"";1/2"";3/4"";1"";1-1/4""",12000,B102A.JPG,"Material: Bronce | Norma: BSP | Acabado: Niquelado | Presión: 150 PSI"
B103,Adaptador Macho-Hembra,racores_bronce,"Adaptador para cambio de diámetros con roscas BSP","1/8""x1/4"";1/4""x3/8"";3/8""x1/2"";1/2""x3/4""",14000,B103.JPG,"Material: Bronce | Norma: BSP | Tipo: Reductor | Presión: 150 PSI"
ACOPLE_RAPIDO,Acople Rápido Neumático,acoples,"Acople rápido para conexiones neumáticas instantáneas","1/4"";3/8"";1/2"";3/4""",20000,ACOPLE RAPIDO.JPG,"Material: Latón niquelado | Presión: 300 PSI | Tipo: Push-in | Temperatura: -10°C a 80°C"
GRIFO_554,Grifo Industrial 554,valvulas,"Grifo industrial para control de flujo en sistemas hidráulicos","1/2"";3/4"";1"";1-1/4""",35000,GRIFO 554.JPG,"Material: Bronce forjado | Presión: 250 PSI | Tipo: Bola | Certificación: ISO 9001"
MANGUERA_SAE,Manguera SAE J1402,mangueras,"Manguera hidráulica SAE J1402 para alta presión","3/16"";1/4"";5/16"";3/8"";1/2"";5/8"";3/4""",8000,MANGUERA SAE J1402.jpg,"Norma: SAE J1402 | Presión: 3000 PSI | Temperatura: -40°C a 100°C | Longitud: Por metro"
INSERTO_BRONCE,Inserto de Bronce,insertos,"Inserto de bronce para reparación de roscas","M6;M8;M10;M12;M14;M16;M18;M20",5000,INSERTO BRONCE.JPG,"Material: Bronce | Tipo: Helicoil | Paso: Métrico | Kit: Incluye herramienta"
SANGRADOR,Sangrador de Frenos,accesorios,"Sangrador para sistemas de frenos automotrices","M8x1.25;M10x1.0;M10x1.25;M12x1.25",8000,SANGRADOR.JPG,"Material: Acero inoxidable | Rosca: Métrica | Aplicación: Frenos | Hexágono: 8mm" 
